what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501662885049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663473096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663475490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663476974
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1501663477144
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1501663477159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663477509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663478586
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501663484418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663507861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663510254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663517084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663535334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663535883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663536115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663536279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663536425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663536926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663537267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663537642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1501663538125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663540812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663546069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663548104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663674281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501663681788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501671918406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501671921063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501671922103
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1501671922256
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1501671922689
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1501671922691
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1501671922692
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1501671922696
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1501671922714
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1501671922719
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1501671922719
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1501671922719
